name,portion,calories
1% milk (low fat),1 cup,102.48
1% milk (low fat),8 fluid ounces,102.48
100% Fruit juice blend (Juicy Juice),1 cup,132.5
100% Fruit juice blend (Juicy Juice),1 drink box (8 fl oz),139.92
100% Fruit juice blend (Juicy Juice),1 small box (4 fl oz),69.96
100% whole wheat bagel,1 regular (4 oz),277.2
100% whole wheat bagel,1 large (5 oz),345.84
100% whole wheat bagel,1 miniature (1 oz),68.64
100% whole wheat bagel,1 small (2 1/2 oz),182.16
100% whole wheat bread,1 regular slice,68.88
100% whole wheat bread,1 large slice,78.72
100% whole wheat bread,1 thin slice,56.58
100% whole wheat cracker (Triscuit),1 cracker,17.72
2% milk (reduced fat),1 cup,122
2% milk (reduced fat),8 fluid ounces,122
Alfredo sauce,.25 cup,249.075
All-Bran cereal,1 cup,156
All-Bran cereal,1 single serving box,91
All-fruit preserves (no added sugar),1 Tablespoon,36.6
Almonds,1 ounce (22 almonds),163.863
Almonds,.25 cup,203.745
Ambrosia,.5 cup,50
American cheese (processed),1 slice (slice = 3/4 oz),70.56
American cheese (processed),.25 cup shredded,94.92
American cheese (processed),1 cubic inch,58.8
Anchovy,"1 2-ounce can, drained",94.5
Anchovy,2 ounces,119.07
Angel food cake,1 piece (1/12 of 10 cake),143.07
Animal cracker,.25 individual box,63.555
Animal cracker,.25 cup,71.36
Animal cracker,1 cracker,11.15
Apple (raw),1 medium  (about 3 per lb),71.76
Apple (raw),"1 cup, quartered or chopped",65
Apple (raw),1 large (about 2 per lb),110.24
Apple (raw),1 small  (about 4 per lb),55.12
Apple (raw),1 slice,8.84
Apple chips,10 chips,101.2
Apple cider,1 cup,116.56
Apple crisp,.5 cup,192
Apple Jacks cereal,1 cup,117
Apple Jacks cereal,1 single serving box,105.3
Apple juice (100% juice),1 cup,116.56
Apple juice (100% juice),1 bottle (10 fl oz),145.7
Apple juice (100% juice),1 drink box (8 fl oz),123.14
Apple pie with crumb topping,"1 piece (1/8 of 9"" pie)",363
"Apple pie, two crust","1 piece (1/8 of 9"" pie)",355.5
Applesauce (sweetened),.5 cup,96.9
Applesauce (sweetened),1 snack size package (4 oz),85.88
Applesauce (unsweetened),.5 cup,52.46
Applesauce (unsweetened),1 snack size package (4 oz),48.59
"Apricot (canned, light syrup)",1 apricot half,14.94
"Apricot (canned, light syrup)",".5 cup, halves",90.885
Apricot (raw),1 apricot,16.8
Apricot (raw),".5 cup, halves",37.2
Artichoke,.5 cup hearts,42
Artichoke,1 medium globe,60
Artichoke,1 heart,13.5
Au gratin potatoes,.5 cup,153.72
Avocado,".25 cup, cubes",60
Avocado,".25 cup, mashed",92
Avocado,.5 California avocado (black),138.4
Avocado,.5 Florida avocado (green),243.2
Bacon,"1 medium slice, cooked",43.28
Bacon,"1 thick slice, cooked",64.92
Bacon,"1 thin slice, cooked",27.05
Bacon cheeseburger on bun,1 cheeseburger,745.92
Bacon grease (or meat drippings),1 Tablespoon,107.648
Bacon grease (or meat drippings),.25 cup,431.0125
Bagel (plain),1 regular (4 oz),288.75
Bagel (plain),1 large (5 oz),360.25
Bagel (plain),1 miniature (1 oz),71.5
Bagel (plain),1 small (2 1/2 oz),189.75
Baked apple (sweetened),1 apple,162.45
Baked battered fish fillet,1 patty or fillet,155.04
Baked battered fish fillet,1 stick,46.24
Baked battered fish fillet,2 ounces after cooking,154.224
Baked beans,.5 cup,118.11
Baked chicken breast (eat skin),1 medium breast,191.1
Baked chicken breast (eat skin),1 white meat quarter,302.25
Baked chicken breast (eat skin),1 large breast,216.45
Baked chicken breast (eat skin),1 small breast,163.8
Baked chicken breast (eat skin),4 ounces after cooking,221.13
Baked chicken breast (no skin),1 medium breast,141.04
Baked chicken breast (no skin),1 white meat quarter,206.64
Baked chicken breast (no skin),1 large breast,160.72
Baked chicken breast (no skin),1 small breast,123
Baked chicken breast (no skin),"4 ounces boneless, cooked",170.56
Baked chicken dark meat (eat skin),1 medium dark meat quarter,262.2
Baked chicken dark meat (eat skin),1 large dark meat quarter,342.7
Baked chicken dark meat (eat skin),1 small dark meat quarter,216.2
Baked chicken dark meat (no skin),1 medium dark meat quarter,179.55
Baked chicken dark meat (no skin),1 large dark meat quarter,241.92
Baked chicken dark meat (no skin),1 small dark meat quarter,153.09
Baked chicken drumstick (no skin),1 medium drumstick,75.24
Baked chicken drumstick (no skin),1 large drumstick,99.18
Baked chicken drumstick (no skin),1 small drumstick,58.14
Baked chicken thigh (no skin),1 medium thigh,107.64
Baked chicken thigh (no skin),1 large thigh,144.9
Baked chicken thigh (no skin),1 small thigh,95.22
Baked fish,1 fillet,142.38
Baked fish,4 ounces after cooking,142.884
Baked or broiled catfish,1 fillet,115.92
Baked or broiled catfish,.5 medium catfish,300.84
Baked or broiled catfish,4 ounces after cooking,208.656
Baked or broiled cod,1 fillet,113.46
Baked or broiled cod,4 ounces after cooking,138.348
Baked or broiled flounder,1 fillet,172.9
Baked or broiled flounder,4 ounces after cooking,150.822
Baked or broiled perch,1 fillet,127.68
Baked or broiled perch,4 ounces after cooking,150.822
Baked or broiled salmon,1 steak,242.82
Baked or broiled salmon,.5 medium fillet,235.98
Baked or broiled salmon,4 ounces after cooking,193.914
Baked or broiled scallops,".5 cup, cooked",124.74
Baked or broiled scallops,1 scallop,17.16
Baked or broiled scallops,4 ounces after cooking,149.688
Baked or broiled trout,1 medium trout,306.44
Baked or broiled trout,4 ounces after cooking,213.192
Baked or broiled tuna,1 steak,227.97
Baked or broiled tuna,4 ounces after cooking,173.502
Baked or low-fat tortilla chips,1 cup,87.15
Baked or low-fat tortilla chips,10 chips,107.9
"Baked potato, plain (don't eat peel)","1 medium (2 per pound, raw)",120.52
"Baked potato, plain (don't eat peel)","1 large (13 ounces, raw)",208.84
"Baked potato, plain (don't eat peel)","1 small (6 ounces, raw)",96.6
"Baked potato, plain (don't eat peel)",8 ounces raw,132.48
"Baked potato, plain (eat peel)","1 medium (2 per pound, raw)",159.16
"Baked potato, plain (eat peel)","1 large (13 ounces, raw)",169.28
"Baked potato, plain (eat peel)","1 small (6 ounces, raw)",126.96
"Baked potato, plain (eat peel)",8 ounces raw,169.28
Baked Pringles potato chips,"1 cup, loose",131.32
Baked Pringles potato chips,1 single serving bag (1.1 oz),150.08
Baked Pringles potato chips,10 chips,107.87
Baked sweet potato,"1 medium (5"" long)",101.46
Baked sweet potato,1 large,160.2
Baked sweet potato,1 small,53.4
Baked winter squash,.5 cup,37.925
Baked winter squash,.5 acorn squash,58
"Baked, broiled, or sauteed shrimp",".5 cup, cooked",111.65
"Baked, broiled, or sauteed shrimp",1 jumbo shrimp,15.40003
"Baked, broiled, or sauteed shrimp",4 ounces after cooking,172.48
"Baked, broiled, or sauteed shrimp",10 medium shrimp,77
"Baked, broiled, or sauteed shrimp",10 small shrimp,61.6
Banana,"1 medium (7 - 8"" long)",105.02
Banana,".5 cup, sliced",66.75
Banana,"1 small (6 - 7"" long)",89.89
Banana,"1 large (8 - 9"" long)",121.04
Banana chips,.25 cup,66.06
Barbeque sauce,1 fast-food container,24
Barbeque sauce,4 Tablespoons,46.875
Barbeque sauce,1 packet,6.975
Battered fried chicken (eat skin),1 medium piece,249.4
Battered fried chicken (eat skin),1 large piece,406
Battered fried chicken (eat skin),1 small piece,142.1
Battered fried chicken (eat skin),4 ounces after cooking,328.86
Battered fried chicken breast,1 medium breast,365.4
Battered fried chicken breast,1 large breast,412.38
Battered fried chicken breast,1 small breast,313.2
Battered fried chicken breast,4 ounces after cooking,295.974
"Battered fried chicken breast, no skin",1 medium breast,252.72
"Battered fried chicken breast, no skin",1 large breast,283.14
